Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-03-20 20:45:00+00:00,19690.5,19699.0,19684.0,19695.75,493
2025-03-20 22:00:00+00:00,19678.75,19698.0,19678.75,19690.75,43
2025-03-20 22:15:00+00:00,19695.0,19700.5,19683.0,19683.0,72
2025-03-20 22:30:00+00:00,19702.5,19715.25,19693.75,19695.5,112
2025-03-20 22:45:00+00:00,19684.0,19704.25,19683.25,19704.25,43
2025-03-20 23:00:00+00:00,19659.25,19685.0,19652.25,19685.0,344
2025-03-20 23:15:00+00:00,19654.25,19657.75,19647.25,19654.25,63
2025-03-20 23:30:00+00:00,19664.75,19667.75,19649.0,19655.25,45
2025-03-20 23:45:00+00:00,19683.25,19686.25,19667.0,19667.0,43
2025-03-21 00:00:00+00:00,19710.75,19715.0,19678.0,19682.25,136
2025-03-21 00:15:00+00:00,19707.25,19720.25,19701.75,19711.0,134
2025-03-21 00:30:00+00:00,19707.5,19720.0,19706.25,19713.0,47
2025-03-21 00:45:00+00:00,19711.0,19717.75,19707.5,19712.25,58
2025-03-21 01:00:00+00:00,19705.0,19713.5,19702.0,19713.5,74
2025-03-21 01:15:00+00:00,19717.25,19717.25,19697.0,19708.25,60
2025-03-21 01:30:00+00:00,19724.0,19728.75,19710.5,19713.5,121
2025-03-21 01:45:00+00:00,19721.0,19723.75,19719.25,19723.75,20
2025-03-21 02:00:00+00:00,19708.75,19725.0,19708.0,19725.0,86
2025-03-21 02:15:00+00:00,19700.75,19711.0,19688.0,19711.0,65
2025-03-21 02:30:00+00:00,19701.0,19701.0,19697.5,19699.5,43
2025-03-21 02:45:00+00:00,19705.25,19711.0,19699.75,19699.75,58
2025-03-21 03:00:00+00:00,19679.0,19696.0,19676.25,19695.0,98
2025-03-21 03:15:00+00:00,19681.5,19685.0,19663.0,19675.5,59
2025-03-21 03:30:00+00:00,19685.0,19685.25,19680.25,19685.0,45
2025-03-21 03:45:00+00:00,19678.75,19688.25,19673.25,19688.25,82
2025-03-21 04:00:00+00:00,19689.0,19689.0,19684.5,19686.25,68
2025-03-21 04:15:00+00:00,19684.25,19689.5,19683.25,19688.75,50
2025-03-21 04:30:00+00:00,19673.75,19684.5,19671.25,19682.25,37
2025-03-21 04:45:00+00:00,19667.75,19674.0,19664.0,19672.25,29
2025-03-21 05:00:00+00:00,19655.25,19665.5,19648.25,19664.75,52
2025-03-21 05:15:00+00:00,19662.75,19666.5,19651.75,19651.75,55
2025-03-21 05:30:00+00:00,19628.0,19664.0,19626.25,19664.0,86
2025-03-21 05:45:00+00:00,19643.25,19644.0,19626.5,19626.5,69
2025-03-21 06:00:00+00:00,19649.5,19650.5,19638.5,19640.75,52
2025-03-21 06:15:00+00:00,19654.25,19656.5,19645.0,19645.25,84
2025-03-21 06:30:00+00:00,19661.25,19671.75,19648.25,19651.5,24
2025-03-21 06:45:00+00:00,19689.5,19689.5,19661.25,19663.5,135
2025-03-21 07:00:00+00:00,19670.0,19690.25,19669.25,19690.0,44
2025-03-21 07:15:00+00:00,19655.0,19661.5,19651.25,19660.0,108
2025-03-21 07:30:00+00:00,19628.0,19655.75,19625.0,19652.0,71
2025-03-21 07:45:00+00:00,19640.0,19641.0,19624.75,19627.5,101
2025-03-21 08:00:00+00:00,19652.0,19670.0,19633.25,19633.25,156
2025-03-21 08:15:00+00:00,19591.5,19653.0,19586.0,19653.0,164
2025-03-21 08:30:00+00:00,19575.25,19601.75,19569.0,19586.0,182
2025-03-21 08:45:00+00:00,19597.75,19597.75,19570.0,19588.75,158
2025-03-21 09:00:00+00:00,19591.75,19600.0,19563.5,19600.0,85
2025-03-21 09:15:00+00:00,19595.25,19597.25,19575.0,19590.5,44
2025-03-21 09:30:00+00:00,19610.25,19614.25,19604.75,19604.80078125,54
2025-03-21 09:45:00+00:00,19592.75,19608.25,19590.5,19608.25,111
2025-03-21 10:00:00+00:00,19635.5,19640.0,19601.5,19601.5,48
2025-03-21 10:15:00+00:00,19616.25,19646.0,19616.25,19646.0,39
2025-03-21 10:30:00+00:00,19592.25,19616.5,19571.25,19616.5,85
2025-03-21 10:45:00+00:00,19603.5,19611.25,19583.25,19583.25,148
2025-03-21 11:00:00+00:00,19608.25,19611.75,19593.0,19609.0,174
2025-03-21 11:15:00+00:00,19619.0,19619.0,19603.75,19607.25,116
2025-03-21 11:30:00+00:00,19612.25,19626.5,19612.25,19619.0,91
2025-03-21 11:45:00+00:00,19595.75,19620.5,19592.5,19612.5,126
2025-03-21 12:00:00+00:00,19631.5,19631.5,19594.25,19594.25,154
2025-03-21 12:15:00+00:00,19593.0,19627.0,19592.75,19627.0,167
2025-03-21 12:30:00+00:00,19495.75,19595.25,19489.25,19592.25,515
2025-03-21 12:45:00+00:00,19485.5,19522.25,19477.0,19498.25,444
2025-03-21 13:00:00+00:00,19454.5,19484.0,19454.5,19483.75,504
2025-03-21 13:15:00+00:00,19451.25,19491.0,19408.0,19456.0,1250
2025-03-21 20:45:00+00:00,19970.75,19970.80078125,19970.75,19970.75,589029
