Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Datetime,,,,,
2025-03-18 14:53:00+00:00,19672.5,19680.0,19465.25,19473.5,273538
2025-03-18 14:54:00+00:00,19680.0,19693.5,19466.5,19470.5,2597
2025-03-18 14:55:00+00:00,19486.75,19708.75,19475.0,19476.5,0
2025-03-18 14:56:00+00:00,19483.5,19697.25,19481.75,19486.5,696
2025-03-18 14:57:00+00:00,19674.5,19686.75,19466.25,19685.5,280979
2025-03-18 14:58:00+00:00,19679.5,19679.5,19459.75,19673.75,2407
2025-03-18 14:59:00+00:00,19679.5,19688.5,19472.75,19475.0,2032
2025-03-18 15:00:00+00:00,19450.0,19685.0,19441.25,19679.5,0
2025-03-18 15:01:00+00:00,19624.0,19656.0,19408.25,19450.5,291456
2025-03-18 15:02:00+00:00,19618.5,19632.5,19413.0,19421.25,2979
2025-03-18 15:03:00+00:00,19416.5,19625.5,19406.0,19618.0,0
2025-03-18 15:04:00+00:00,19423.75,19630.75,19414.75,19415.0,1233
2025-03-18 15:05:00+00:00,19621.75,19631.5,19412.25,19424.0,293766
2025-03-18 15:06:00+00:00,19614.0,19622.25,19401.0,19621.75,3338
2025-03-18 15:07:00+00:00,19632.75,19634.0,19408.0,19411.5,3099
2025-03-18 15:08:00+00:00,19435.25,19642.5,19421.25,19633.25,0
2025-03-18 15:09:00+00:00,19426.0,19647.0,19425.25,19437.0,1259
2025-03-18 15:10:00+00:00,19430.0,19638.5,19418.0,19427.25,1334
2025-03-18 15:11:00+00:00,19435.25,19646.5,19428.5,19429.0,1049
2025-03-18 15:12:00+00:00,19645.0,19646.5,19432.25,19435.25,302852
2025-03-18 15:13:00+00:00,19658.5,19664.25,19440.75,19442.0,3554
2025-03-18 15:14:00+00:00,19657.25,19664.75,19447.5,19659.5,2175
2025-03-18 15:15:00+00:00,19452.0,19667.5,19448.75,19657.25,0
2025-03-18 15:16:00+00:00,19449.75,19659.5,19443.5,19451.5,910
2025-03-18 15:17:00+00:00,19456.75,19660.0,19441.75,19450.5,834
2025-03-18 15:18:00+00:00,19465.75,19676.0,19455.5,19456.0,1332
2025-03-18 15:19:00+00:00,19673.25,19675.5,19462.5,19464.0,311739
2025-03-18 15:20:00+00:00,19465.75,19678.0,19463.75,19674.0,0
2025-03-18 15:21:00+00:00,19662.25,19673.0,19455.0,19465.75,313577
2025-03-18 15:22:00+00:00,19446.75,19669.75,19445.75,19662.0,0
2025-03-18 15:23:00+00:00,19661.5,19665.75,19444.75,19446.75,316345
2025-03-18 15:24:00+00:00,19663.25,19664.0,19448.25,19662.25,1489
2025-03-18 15:25:00+00:00,19477.5,19682.5,19460.5,19460.5,0
2025-03-18 15:26:00+00:00,19683.0,19687.5,19475.75,19477.25,320078
2025-03-18 15:27:00+00:00,19689.75,19693.75,19475.25,19683.75,1962
2025-03-18 15:28:00+00:00,19684.75,19696.25,19480.25,19484.25,1511
2025-03-18 15:29:00+00:00,19670.5,19686.75,19464.5,19480.5,2439
2025-03-18 15:30:00+00:00,19682.5,19687.0,19454.0,19671.0,3199
2025-03-18 15:31:00+00:00,19667.5,19686.75,19459.25,19682.25,1968
2025-03-18 15:32:00+00:00,19468.5,19683.75,19460.0,19667.0,0
2025-03-18 15:33:00+00:00,19687.0,19689.25,19462.25,19468.25,327484
2025-03-18 15:34:00+00:00,19675.5,19691.75,19471.75,19687.0,1703
2025-03-18 15:35:00+00:00,19677.25,19679.75,19465.0,19471.25,1439
2025-03-18 15:36:00+00:00,19690.0,19691.0,19467.75,19678.5,2396
2025-03-18 15:37:00+00:00,19677.75,19691.0,19474.5,19689.5,1290
2025-03-18 15:38:00+00:00,19698.0,19698.5,19474.0,19678.0,1651
2025-03-18 15:39:00+00:00,19694.5,19698.25,19477.25,19698.0,1696
2025-03-18 15:40:00+00:00,19479.0,19701.75,19478.5,19694.5,0
2025-03-18 15:41:00+00:00,19668.75,19683.5,19458.5,19478.25,336727
